LineNumber Seconds Frequency,Hz
1 0,563 3567,81348
2 1,106 3567,82056
3 1,650 3567,80859
4 2,191 3567,80884
5 2,719 3567,80981
6 3,253 3567,81543
7 3,780 3567,80640
8 4,318 3567,80713
9 4,847 3567,81201
10 5,378 3567,81348
11 5,913 3567,80762
12 6,457 3567,81641
13 6,988 3567,80981
14 7,523 3567,81860
15 8,063 3567,81030
16 8,598 3567,80688
17 9,127 3567,80713
18 9,656 3567,80273
19 10,188 3567,80542
20 10,722 3567,80615
21 11,251 3567,80688
22 11,791 3567,81567
23 12,328 3567,81177
24 12,864 3246,09375
25 13,390 3246,09766
26 13,929 3246,11353
27 14,470 3246,10181
28 15,000 3246,10742
29 15,531 3246,11230
30 16,064 3246,11206
31 16,603 3246,11401
32 17,145 3246,09717
33 17,677 3246,10205
34 18,204 3246,10132
35 18,736 3246,08740
36 19,267 3246,10181
37 19,799 3246,09985
38 20,335 3246,09204
39 20,880 3246,09180
40 21,408 3246,11548
41 21,938 3246,10547
42 22,470 3246,10425
43 23,002 3246,10913
44 23,535 3246,08765
45 24,063 3246,08521
46 24,601 3246,11084
47 25,141 3246,09448
48 25,672 2977,60181
49 26,202 2977,60864
50 26,734 2977,59814
51 27,266 2977,60596
52 27,797 2977,60425
53 28,332 2977,59692
54 28,865 2977,59497
55 29,413 2977,59937
56 29,954 2977,60034
57 30,487 2977,59326
58 31,022 2977,59570
59 31,567 2977,59912
60 32,097 2977,60156
61 32,624 2977,60254
62 33,158 2977,60742
63 33,691 2977,60083
64 34,226 2977,59961
65 34,766 2977,60083
66 35,299 2977,60913
67 35,829 2977,60449
68 36,361 2977,60449
69 36,893 2977,59839
70 37,421 2977,60303
71 37,953 2977,60254
72 38,499 2977,61011
73 39,043 2750,13306
74 39,587 2750,14087
75 40,131 2750,13306
76 40,676 2750,13745
77 41,202 2750,14429
78 41,742 2750,13794
79 42,291 2750,14258
80 42,837 2750,13672
81 43,382 2750,14380
82 43,923 2750,13159
83 44,453 2750,13770
84 44,991 2750,13843
85 45,531 2750,13159
86 46,069 2750,13623
87 46,620 2750,13672
88 47,157 2750,13940
89 47,690 2750,13696
90 48,227 2750,13208
91 48,765 2750,14624
92 49,306 2750,13770
93 49,845 2750,14258
94 50,377 2750,13281
95 50,907 2750,14771
96 51,438 2750,13940
97 51,968 2554,94556
98 52,514 2554,95410
99 53,060 2554,95264
100 53,602 2554,94751
101 54,143 2554,95313
102 54,676 2554,94751
103 55,214 2554,95264
